IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.86.236,4,1,0.75,533.72,0.00
104.16.87.86,4,1,0.75,533.72,0.00
104.16.67.176,4,1,0.75,534.44,0.00
104.16.80.241,4,1,0.75,535.75,0.00
104.16.73.226,4,1,0.75,537.80,0.00
104.16.74.176,4,1,0.75,538.22,0.00
104.16.83.206,4,1,0.75,538.22,0.00
104.16.71.7,4,1,0.75,538.72,0.00
104.16.72.33,4,1,0.75,539.29,0.00
104.16.70.75,4,1,0.75,539.84,0.00
104.16.20.34,4,1,0.75,540.00,0.00
104.16.92.1,4,1,0.75,540.08,0.00
104.16.75.204,4,1,0.75,540.60,0.00
104.16.76.133,4,1,0.75,541.22,0.00
104.16.99.108,4,1,0.75,541.22,0.00
104.16.82.68,4,1,0.75,541.79,0.00
104.16.88.215,4,1,0.75,543.00,0.00
104.16.84.110,4,1,0.75,543.50,0.00
104.16.93.32,4,1,0.75,543.50,0.00
104.16.77.211,4,1,0.75,543.51,0.00
104.16.89.84,4,1,0.75,544.71,0.00
104.16.78.139,4,1,0.75,545.24,0.00
172.64.91.119,4,1,0.75,546.22,0.00
172.64.88.64,4,1,0.75,548.75,0.00
172.64.155.28,4,1,0.75,569.48,0.00
172.64.157.226,4,1,0.75,570.41,0.00
172.64.158.160,4,1,0.75,571.42,0.00
198.41.223.222,4,1,0.75,582.85,0.00
198.41.194.158,4,1,0.75,587.12,0.00
172.64.96.187,4,1,0.75,593.29,0.00
172.64.145.189,4,1,0.75,593.58,0.00
172.64.107.214,4,1,0.75,593.76,0.00
172.64.152.162,4,1,0.75,594.60,0.00
172.64.139.148,4,1,0.75,598.44,0.00
104.16.66.196,4,1,0.75,601.59,0.00
104.16.64.103,4,1,0.75,602.17,0.00
104.16.65.228,4,1,0.75,602.75,0.00
104.16.79.181,4,1,0.75,673.08,0.00
172.64.92.214,4,1,0.75,673.69,0.00
172.64.106.38,4,1,0.75,674.53,0.00
104.16.149.184,4,1,0.75,674.63,0.00
104.16.101.63,4,1,0.75,674.72,0.00
104.16.246.199,4,1,0.75,675.13,0.00
104.16.100.128,4,1,0.75,675.23,0.00
104.16.151.134,4,1,0.75,675.37,0.00
104.16.203.156,4,1,0.75,675.47,0.00
104.16.248.183,4,1,0.75,675.74,0.00
104.16.147.170,4,1,0.75,675.93,0.00
104.16.152.124,4,1,0.75,676.11,0.00
104.16.150.34,4,1,0.75,676.11,0.00
104.16.202.155,4,1,0.75,676.52,0.00
104.16.201.166,4,1,0.75,676.52,0.00
104.16.148.24,4,1,0.75,676.71,0.00
172.64.108.130,4,1,0.75,676.81,0.00
104.16.102.20,4,1,0.75,676.81,0.00
104.16.250.94,4,1,0.75,676.92,0.00
104.17.25.237,4,1,0.75,677.05,0.00
104.16.111.129,4,1,0.75,677.34,0.00
104.16.249.236,4,1,0.75,677.43,0.00
104.16.240.11,4,1,0.75,677.44,0.00
104.16.252.174,4,1,0.75,677.57,0.00
104.17.26.62,4,1,0.75,677.59,0.00
104.16.90.73,4,1,0.75,682.95,0.00
104.16.94.59,4,1,0.75,682.95,0.00
104.16.95.167,4,1,0.75,683.16,0.00
104.16.91.191,4,1,0.75,683.68,0.00
162.159.20.45,4,1,0.75,711.08,0.00
104.16.255.247,4,1,0.75,717.67,0.00
104.17.130.120,4,1,0.75,717.73,0.00
162.159.56.162,4,1,0.75,718.27,0.00
104.17.20.188,4,1,0.75,718.65,0.00
104.17.21.197,4,1,0.75,718.65,0.00
104.17.29.58,4,1,0.75,719.19,0.00
104.17.51.188,4,1,0.75,719.26,0.00
104.17.48.42,4,1,0.75,719.85,0.00
104.17.54.44,4,1,0.75,720.00,0.00
104.17.62.28,4,1,0.75,720.00,0.00
104.17.141.39,4,1,0.75,720.98,0.00
104.17.50.182,4,1,0.75,721.05,0.00
104.17.206.60,4,1,0.75,729.36,0.00
104.17.205.158,4,1,0.75,729.36,0.00
104.16.167.225,4,1,0.75,730.25,0.00
104.16.188.252,4,1,0.75,730.55,0.00
104.16.166.46,4,1,0.75,730.78,0.00
104.16.168.45,4,1,0.75,730.78,0.00
104.16.117.108,4,1,0.75,730.98,0.00
104.16.187.122,4,1,0.75,731.07,0.00
104.16.173.182,4,1,0.75,732.12,0.00
172.64.50.104,4,1,0.75,732.16,0.00
104.16.172.181,4,1,0.75,732.65,0.00
104.16.186.64,4,1,0.75,732.88,0.00
104.16.226.35,4,1,0.75,734.46,0.00
104.16.181.133,4,1,0.75,734.98,0.00
104.16.232.139,4,1,0.75,736.15,0.00
104.16.227.77,4,1,0.75,736.30,0.00
104.16.174.195,4,1,0.75,736.56,0.00
104.16.210.186,4,1,0.75,737.58,0.00
104.16.112.93,4,1,0.75,738.56,0.00
104.16.107.45,4,1,0.75,738.56,0.00
104.16.233.155,4,1,0.75,738.81,0.00
104.16.236.174,4,1,0.75,739.44,0.00
104.16.103.166,4,1,0.75,739.62,0.00
104.16.106.92,4,1,0.75,740.14,0.00
104.16.217.177,4,1,0.75,740.49,0.00
104.16.23.159,4,1,0.75,740.50,0.00
104.16.235.228,4,1,0.75,740.50,0.00
104.17.3.6,4,1,0.75,741.02,0.00
104.17.98.209,4,1,0.75,741.59,0.00
104.17.11.237,4,1,0.75,742.17,0.00
104.16.104.188,4,1,0.75,742.20,0.00
104.17.33.179,4,1,0.75,742.46,0.00
104.17.32.121,4,1,0.75,742.46,0.00
104.17.73.143,4,1,0.75,742.64,0.00
104.16.108.7,4,1,0.75,742.73,0.00
104.17.6.122,4,1,0.75,742.77,0.00
104.17.7.156,4,1,0.75,742.77,0.00
104.17.100.107,4,1,0.75,742.89,0.00
104.17.99.136,4,1,0.75,742.89,0.00
104.17.44.10,4,1,0.75,743.14,0.00
104.16.96.68,4,1,0.75,743.26,0.00
104.17.65.177,4,1,0.75,743.74,0.00
104.17.40.236,4,1,0.75,743.95,0.00
104.16.130.148,4,1,0.75,745.77,0.00
104.16.97.69,4,1,0.75,746.34,0.00
104.16.109.5,4,1,0.75,746.34,0.00
104.16.138.81,4,1,0.75,746.82,0.00
104.16.105.8,4,1,0.75,747.36,0.00
104.16.62.131,4,1,0.75,747.81,0.00
104.16.131.218,4,1,0.75,747.86,0.00
104.16.129.190,4,1,0.75,749.54,0.00
104.16.63.226,4,1,0.75,749.84,0.00
104.16.127.183,4,1,0.75,753.66,0.00
172.64.97.9,4,1,0.75,760.94,0.00
104.16.58.201,4,1,0.75,768.34,0.00
104.16.59.115,4,1,0.75,768.34,0.00
162.159.60.96,4,1,0.75,778.84,0.00
162.159.11.192,4,1,0.75,780.34,0.00
104.16.61.98,4,1,0.75,797.82,0.00
104.16.60.17,4,1,0.75,828.45,0.00
104.16.6.134,4,1,0.75,831.65,0.00
172.64.143.199,4,1,0.75,832.71,0.00
172.64.138.205,4,1,0.75,837.00,0.00
172.64.201.174,4,1,0.75,850.30,0.00
172.65.110.14,4,1,0.75,854.53,0.00
172.65.139.72,4,1,0.75,854.73,0.00
172.65.32.26,4,1,0.75,854.96,0.00
172.65.147.192,4,1,0.75,855.71,0.00
104.16.57.205,4,1,0.75,855.72,0.00
172.65.131.131,4,1,0.75,855.90,0.00
172.65.140.208,4,1,0.75,856.00,0.00
172.65.121.10,4,1,0.75,856.55,0.00
172.65.37.184,4,1,0.75,856.66,0.00
172.65.141.77,4,1,0.75,857.07,0.00
172.65.150.128,4,1,0.75,857.28,0.00
172.65.41.115,4,1,0.75,857.60,0.00
104.16.54.120,4,1,0.75,857.60,0.00
172.65.43.247,4,1,0.75,857.81,0.00
104.16.56.94,4,1,0.75,858.54,0.00
104.16.53.121,4,1,0.75,859.10,0.00
104.25.251.231,4,1,0.75,859.49,0.00
104.16.52.187,4,1,0.75,859.95,0.00
104.16.33.83,4,1,0.75,860.42,0.00
104.16.55.251,4,1,0.75,860.64,0.00
172.65.3.133,4,1,0.75,860.96,0.00
104.25.254.85,4,1,0.75,861.39,0.00
104.17.104.60,4,1,0.75,863.46,0.00
104.17.89.204,4,1,0.75,864.01,0.00
104.17.94.17,4,1,0.75,864.52,0.00
104.17.125.84,4,1,0.75,864.55,0.00
104.17.150.17,4,1,0.75,864.65,0.00
104.17.111.111,4,1,0.75,864.65,0.00
104.17.145.177,4,1,0.75,865.06,0.00
104.17.91.162,4,1,0.75,865.56,0.00
104.17.152.173,4,1,0.75,865.68,0.00
104.17.123.196,4,1,0.75,866.11,0.00
104.17.159.107,4,1,0.75,866.11,0.00
104.17.164.51,4,1,0.75,866.45,0.00
104.17.147.113,4,1,0.75,866.68,0.00
104.17.95.118,4,1,0.75,866.82,0.00
104.17.92.174,4,1,0.75,866.82,0.00
104.17.169.226,4,1,0.75,866.96,0.00
104.25.243.103,4,1,0.75,866.98,0.00
104.17.170.97,4,1,0.75,867.13,0.00
104.17.177.69,4,1,0.75,867.65,0.00
104.17.183.233,4,1,0.75,867.65,0.00
104.17.185.193,4,1,0.75,867.65,0.00
104.17.168.81,4,1,0.75,867.66,0.00
104.17.173.80,4,1,0.75,868.21,0.00
104.17.208.125,4,1,0.75,868.43,0.00
104.16.4.67,4,1,0.75,868.92,0.00
104.17.209.76,4,1,0.75,868.96,0.00
104.17.186.217,4,1,0.75,868.97,0.00
104.17.211.108,4,1,0.75,869.39,0.00
104.17.210.88,4,1,0.75,869.90,0.00
104.16.126.19,4,1,0.75,882.71,0.00
104.16.120.32,4,1,0.75,884.84,0.00
104.25.196.154,4,1,0.75,887.97,0.00
104.25.201.14,4,1,0.75,888.41,0.00
104.25.197.215,4,1,0.75,888.50,0.00
104.25.199.101,4,1,0.75,888.93,0.00
104.16.115.254,4,1,0.75,888.98,0.00
104.25.203.250,4,1,0.75,889.46,0.00
104.25.194.137,4,1,0.75,890.54,0.00
104.25.198.78,4,1,0.75,890.74,0.00
104.25.195.214,4,1,0.75,891.27,0.00
104.25.205.197,4,1,0.75,891.59,0.00
104.25.193.109,4,1,0.75,891.80,0.00
104.25.200.74,4,1,0.75,892.11,0.00
172.65.45.119,4,1,0.75,892.60,0.00
104.25.204.203,4,1,0.75,893.15,0.00
104.25.206.226,4,1,0.75,893.64,0.00
104.25.202.69,4,1,0.75,893.68,0.00
172.65.162.28,4,1,0.75,894.96,0.00
172.65.47.166,4,1,0.75,895.48,0.00
172.65.156.140,4,1,0.75,896.57,0.00
172.65.169.143,4,1,0.75,896.92,0.00
172.65.166.138,4,1,0.75,896.92,0.00
172.65.160.93,4,1,0.75,897.07,0.00
172.65.167.142,4,1,0.75,897.54,0.00
172.64.234.178,4,1,0.75,898.06,0.00
172.65.168.180,4,1,0.75,898.06,0.00
172.65.174.130,4,1,0.75,898.58,0.00
104.31.16.213,4,1,0.75,898.92,0.00
172.64.233.37,4,1,0.75,899.11,0.00
172.65.120.130,4,1,0.75,899.24,0.00
104.23.134.175,4,1,0.75,900.17,0.00
104.23.98.135,4,1,0.75,900.20,0.00
104.25.191.189,4,1,0.75,900.95,0.00
172.65.51.220,4,1,0.75,901.19,0.00
172.65.53.83,4,1,0.75,901.21,0.00
172.65.177.63,4,1,0.75,901.57,0.00
172.65.172.147,4,1,0.75,901.73,0.00
172.65.176.166,4,1,0.75,902.41,0.00
104.25.207.205,4,1,0.75,902.59,0.00
104.25.192.245,4,1,0.75,902.62,0.00
172.65.173.241,4,1,0.75,903.08,0.00
172.65.55.104,4,1,0.75,903.43,0.00
104.25.209.97,4,1,0.75,903.59,0.00
172.65.54.152,4,1,0.75,903.95,0.00
104.25.211.220,4,1,0.75,904.10,0.00
172.65.122.44,4,1,0.75,904.10,0.00
172.65.36.212,4,1,0.75,904.61,0.00
104.25.210.73,4,1,0.75,904.64,0.00
172.65.149.37,4,1,0.75,906.02,0.00
104.25.212.161,4,1,0.75,906.62,0.00
172.67.42.18,4,1,0.75,910.49,0.00
172.67.41.117,4,1,0.75,912.29,0.00
104.16.32.204,4,1,0.75,914.41,0.00
172.67.34.115,4,1,0.75,915.43,0.00
172.67.37.81,4,1,0.75,915.43,0.00
172.67.39.164,4,1,0.75,919.00,0.00
104.25.246.118,4,1,0.75,924.64,0.00
104.18.71.58,4,1,0.75,933.64,0.00
104.17.90.148,4,1,0.75,935.92,0.00
104.17.85.129,4,1,0.75,936.00,0.00
104.17.79.229,4,1,0.75,936.36,0.00
104.18.157.177,4,1,0.75,936.43,0.00
104.18.158.10,4,1,0.75,936.43,0.00
104.17.77.247,4,1,0.75,936.53,0.00
104.17.93.138,4,1,0.75,936.86,0.00
104.18.156.96,4,1,0.75,936.96,0.00
104.17.87.104,4,1,0.75,937.39,0.00
104.17.80.69,4,1,0.75,937.90,0.00
104.18.173.59,4,1,0.75,938.24,0.00
104.18.162.225,4,1,0.75,938.25,0.00
104.17.88.48,4,1,0.75,938.43,0.00
172.67.16.240,4,1,0.75,938.63,0.00
104.17.133.183,4,1,0.75,938.69,0.00
104.18.160.75,4,1,0.75,938.76,0.00
104.18.174.19,4,1,0.75,938.87,0.00
104.17.207.106,4,1,0.75,938.97,0.00
104.17.140.173,4,1,0.75,939.22,0.00
172.67.20.61,4,1,0.75,940.48,0.00
172.67.18.62,4,1,0.75,940.48,0.00
104.18.172.5,4,1,0.75,940.54,0.00
104.18.175.74,4,1,0.75,941.04,0.00
104.17.224.0,4,1,0.75,941.19,0.00
104.18.182.26,4,1,0.75,941.32,0.00
104.17.137.109,4,1,0.75,941.48,0.00
172.67.13.181,4,1,0.75,941.48,0.00
104.18.180.225,4,1,0.75,941.88,0.00
104.17.227.22,4,1,0.75,942.04,0.00
104.17.226.214,4,1,0.75,942.04,0.00
172.67.21.245,4,1,0.75,942.28,0.00
104.17.241.184,4,1,0.75,942.54,0.00
172.67.15.113,4,1,0.75,942.75,0.00
104.17.243.160,4,1,0.75,943.59,0.00
104.17.240.151,4,1,0.75,943.59,0.00
172.67.19.173,4,1,0.75,943.77,0.00
172.67.56.46,4,1,0.75,944.52,0.00
104.17.242.69,4,1,0.75,944.63,0.00
104.17.253.95,4,1,0.75,945.14,0.00
104.17.245.64,4,1,0.75,945.15,0.00
104.17.244.59,4,1,0.75,945.15,0.00
104.17.225.173,4,1,0.75,945.15,0.00
104.16.50.105,4,1,0.75,945.72,0.00
104.16.49.198,4,1,0.75,947.13,0.00
172.67.59.97,4,1,0.75,948.50,0.00
172.67.61.117,4,1,0.75,949.01,0.00
172.67.57.145,4,1,0.75,950.04,0.00
104.16.45.155,4,1,0.75,950.26,0.00
104.16.44.146,4,1,0.75,951.28,0.00
172.67.11.122,4,1,0.75,952.20,0.00
104.25.110.59,4,1,0.75,952.78,0.00
104.16.51.125,4,1,0.75,954.83,0.00
104.16.47.108,4,1,0.75,955.38,0.00
104.16.42.159,4,1,0.75,955.71,0.00
104.16.43.47,4,1,0.75,955.91,0.00
104.16.34.82,4,1,0.75,956.11,0.00
104.16.35.67,4,1,0.75,956.45,0.00
104.16.37.179,4,1,0.75,956.83,0.00
104.16.48.152,4,1,0.75,957.12,0.00
104.16.39.26,4,1,0.75,957.33,0.00
104.16.36.68,4,1,0.75,957.78,0.00
104.16.38.234,4,1,0.75,957.84,0.00
104.16.40.10,4,1,0.75,958.14,0.00
104.16.46.146,4,1,0.75,958.16,0.00
104.25.158.161,4,1,0.75,958.51,0.00
172.67.3.199,4,1,0.75,958.72,0.00
172.67.4.201,4,1,0.75,958.72,0.00
104.16.41.140,4,1,0.75,958.72,0.00
