IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
141.101.120.107,4,4,0.00,241.47,0.00
141.101.113.142,4,4,0.00,242.47,0.00
173.245.58.38,4,4,0.00,242.70,0.00
198.41.204.68,4,4,0.00,242.82,0.00
188.114.99.45,4,4,0.00,243.23,0.00
108.162.192.92,4,4,0.00,245.33,0.00
103.21.244.145,4,4,0.00,245.39,0.00
190.93.246.37,4,4,0.00,246.17,0.00
162.159.0.107,4,4,0.00,255.81,0.00
162.159.5.28,4,4,0.00,269.43,0.00
198.41.193.195,4,4,0.00,269.77,0.00
198.41.199.251,4,4,0.00,270.71,0.00
141.101.122.164,4,4,0.00,272.03,0.00
162.159.50.201,4,4,0.00,289.78,0.00
162.159.40.126,4,4,0.00,290.10,0.00
198.41.218.78,4,4,0.00,290.84,0.00
162.159.136.44,4,4,0.00,291.11,0.00
162.159.199.207,4,4,0.00,291.19,0.00
162.159.198.172,4,4,0.00,291.20,0.00
162.159.82.50,4,4,0.00,291.60,0.00
162.159.192.177,4,4,0.00,291.63,0.00
162.159.197.173,4,4,0.00,291.66,0.00
190.93.245.71,4,4,0.00,292.21,0.00
162.159.129.103,4,4,0.00,292.21,0.00
162.159.61.171,4,4,0.00,292.35,0.00
162.159.196.145,4,4,0.00,292.65,0.00
188.114.97.212,4,4,0.00,293.66,0.00
162.159.194.213,4,4,0.00,293.80,0.00
162.159.36.109,4,4,0.00,294.21,0.00
162.159.143.79,4,4,0.00,294.37,0.00
198.41.216.214,4,4,0.00,295.27,0.00
162.159.141.102,4,4,0.00,295.44,0.00
162.159.153.82,4,4,0.00,295.93,0.00
162.159.25.10,4,4,0.00,319.82,0.00
104.16.1.34,4,4,0.00,483.17,0.00
162.159.80.150,4,4,0.00,502.74,0.00
162.159.241.250,4,4,0.00,506.44,0.00
104.16.11.131,4,4,0.00,508.00,0.00
104.16.8.215,4,4,0.00,509.30,0.00
162.159.246.202,4,4,0.00,510.45,0.00
162.159.243.239,4,4,0.00,510.55,0.00
162.159.245.47,4,4,0.00,510.81,0.00
162.159.248.136,4,4,0.00,511.05,0.00
162.159.247.240,4,4,0.00,511.48,0.00
162.159.253.45,4,4,0.00,546.14,0.00
162.159.251.141,4,4,0.00,546.29,0.00
162.159.249.205,4,4,0.00,546.64,0.00
162.159.252.96,4,4,0.00,547.47,0.00
104.16.0.124,4,4,0.00,694.09,0.00
104.16.2.179,4,4,0.00,717.76,0.00
104.25.112.85,4,4,0.00,922.80,0.00
162.159.195.233,4,3,0.25,291.73,0.00
162.159.14.241,4,3,0.25,318.93,0.00
162.159.44.129,4,3,0.25,389.25,0.00
162.159.39.44,4,3,0.25,389.58,0.00
162.159.24.181,4,3,0.25,390.13,0.00
162.159.21.110,4,3,0.25,390.37,0.00
198.41.222.224,4,3,0.25,393.22,0.00
198.41.200.36,4,3,0.25,395.49,0.00
162.159.207.254,4,3,0.25,395.78,0.00
162.159.206.60,4,3,0.25,424.09,0.00
162.159.22.245,4,3,0.25,424.68,0.00
162.159.128.44,4,3,0.25,426.20,0.00
162.159.140.228,4,3,0.25,426.71,0.00
162.159.133.235,4,3,0.25,427.76,0.00
162.159.58.240,4,3,0.25,452.97,0.00
162.159.205.195,4,3,0.25,453.10,0.00
162.159.193.77,4,3,0.25,482.47,0.00
162.159.254.50,4,3,0.25,611.16,0.00
162.159.244.126,4,3,0.25,619.93,0.00
104.16.14.133,4,3,0.25,622.45,0.00
104.16.12.62,4,3,0.25,625.92,0.00
104.16.9.33,4,3,0.25,656.61,0.00
162.159.160.96,4,3,0.25,659.73,0.00
162.159.203.9,4,3,0.25,664.69,0.00
104.16.17.193,4,3,0.25,666.24,0.00
162.159.240.232,4,3,0.25,666.54,0.00
104.16.7.189,4,3,0.25,680.41,0.00
104.16.18.133,4,3,0.25,680.48,0.00
104.16.16.174,4,3,0.25,687.90,0.00
104.16.13.7,4,3,0.25,689.08,0.00
172.64.153.43,4,3,0.25,722.95,0.00
104.16.10.55,4,3,0.25,727.70,0.00
172.64.146.208,4,3,0.25,729.96,0.00
104.25.91.179,4,3,0.25,902.25,0.00
104.25.93.212,4,3,0.25,903.60,0.00
104.25.89.88,4,3,0.25,910.32,0.00
104.25.85.11,4,3,0.25,912.88,0.00
104.25.86.212,4,3,0.25,912.98,0.00
104.25.125.175,4,3,0.25,915.87,0.00
104.25.88.56,4,3,0.25,916.25,0.00
104.25.87.135,4,3,0.25,916.98,0.00
104.25.166.157,4,3,0.25,945.52,0.00
104.25.167.71,4,3,0.25,946.38,0.00
104.25.190.215,4,3,0.25,957.32,0.00
104.25.187.251,4,3,0.25,959.00,0.00
104.25.188.214,4,3,0.25,960.05,0.00
104.25.175.17,4,3,0.25,970.19,0.00
104.25.171.8,4,3,0.25,972.20,0.00
104.25.170.175,4,3,0.25,972.37,0.00
104.25.174.204,4,3,0.25,972.50,0.00
104.25.169.42,4,3,0.25,972.92,0.00
104.25.173.158,4,3,0.25,973.15,0.00
104.25.168.178,4,3,0.25,975.81,0.00
104.25.179.75,4,3,0.25,988.41,0.00
162.159.242.228,4,2,0.50,430.93,0.00
162.159.239.196,4,2,0.50,432.21,0.00
162.159.4.68,4,2,0.50,489.21,0.00
162.159.202.78,4,2,0.50,493.84,0.00
162.159.32.138,4,2,0.50,496.35,0.00
162.159.130.154,4,2,0.50,497.41,0.00
162.159.19.223,4,2,0.50,499.93,0.00
162.159.201.78,4,2,0.50,522.46,0.00
104.16.3.218,4,2,0.50,526.42,0.00
198.41.211.23,4,2,0.50,539.22,0.00
198.41.195.2,4,2,0.50,539.81,0.00
198.41.203.21,4,2,0.50,543.52,0.00
198.41.197.100,4,2,0.50,543.88,0.00
162.159.33.209,4,2,0.50,546.69,0.00
162.159.18.161,4,2,0.50,578.16,0.00
162.159.134.234,4,2,0.50,578.32,0.00
162.159.3.85,4,2,0.50,578.58,0.00
162.159.16.179,4,2,0.50,578.97,0.00
198.41.220.37,4,2,0.50,580.40,0.00
162.159.45.164,4,2,0.50,580.63,0.00
162.159.49.82,4,2,0.50,581.16,0.00
162.159.152.34,4,2,0.50,581.28,0.00
141.101.123.37,4,2,0.50,581.67,0.00
162.159.138.170,4,2,0.50,585.86,0.00
198.41.221.53,4,2,0.50,591.98,0.00
198.41.206.51,4,2,0.50,594.48,0.00
162.159.250.101,4,2,0.50,596.42,0.00
104.16.27.82,4,2,0.50,642.39,0.00
104.16.29.243,4,2,0.50,643.87,0.00
104.16.28.134,4,2,0.50,646.24,0.00
162.159.9.101,4,2,0.50,661.31,0.00
104.16.25.60,4,2,0.50,664.26,0.00
104.16.30.64,4,2,0.50,665.39,0.00
172.64.85.202,4,2,0.50,713.11,0.00
172.64.86.219,4,2,0.50,713.11,0.00
172.64.89.62,4,2,0.50,715.69,0.00
172.64.82.205,4,2,0.50,716.28,0.00
104.16.31.133,4,2,0.50,723.79,0.00
172.64.154.209,4,2,0.50,732.94,0.00
162.159.35.111,4,2,0.50,747.88,0.00
172.64.133.45,4,2,0.50,748.79,0.00
172.64.49.153,4,2,0.50,751.45,0.00
172.64.52.12,4,2,0.50,752.37,0.00
172.64.37.107,4,2,0.50,757.98,0.00
172.64.36.126,4,2,0.50,759.85,0.00
172.64.105.248,4,2,0.50,763.73,0.00
172.64.90.167,4,2,0.50,764.34,0.00
172.64.95.80,4,2,0.50,765.32,0.00
172.64.98.249,4,2,0.50,766.59,0.00
172.64.99.190,4,2,0.50,767.04,0.00
172.64.100.37,4,2,0.50,767.79,0.00
172.64.101.219,4,2,0.50,768.86,0.00
172.64.102.44,4,2,0.50,769.98,0.00
198.41.212.60,4,2,0.50,771.63,0.00
172.64.47.253,4,2,0.50,774.08,0.00
172.64.48.152,4,2,0.50,775.50,0.00
104.16.19.162,4,2,0.50,778.81,0.00
172.64.142.244,4,2,0.50,785.82,0.00
104.16.5.159,4,2,0.50,786.24,0.00
172.64.150.62,4,2,0.50,787.40,0.00
172.64.132.37,4,2,0.50,787.67,0.00
172.64.130.128,4,2,0.50,788.26,0.00
172.64.148.95,4,2,0.50,789.63,0.00
172.64.137.27,4,2,0.50,792.32,0.00
172.64.33.83,4,2,0.50,801.85,0.00
172.64.32.171,4,2,0.50,802.36,0.00
104.25.123.215,4,2,0.50,812.64,0.00
172.64.84.37,4,2,0.50,830.38,0.00
104.25.111.80,4,2,0.50,834.35,0.00
172.65.80.109,4,2,0.50,847.64,0.00
172.65.84.20,4,2,0.50,848.38,0.00
172.65.14.30,4,2,0.50,848.52,0.00
172.65.83.217,4,2,0.50,848.63,0.00
172.65.2.66,4,2,0.50,849.25,0.00
172.65.21.38,4,2,0.50,849.39,0.00
172.64.167.16,4,2,0.50,849.45,0.00
172.65.8.171,4,2,0.50,849.71,0.00
172.65.87.13,4,2,0.50,849.97,0.00
172.64.205.112,4,2,0.50,850.17,0.00
172.65.81.159,4,2,0.50,852.70,0.00
172.64.162.51,4,2,0.50,853.23,0.00
162.159.43.91,4,2,0.50,862.23,0.00
172.64.68.227,4,2,0.50,863.54,0.00
104.16.15.24,4,2,0.50,865.14,0.00
104.25.240.187,4,2,0.50,866.32,0.00
104.25.92.37,4,2,0.50,868.16,0.00
104.25.241.190,4,2,0.50,869.10,0.00
104.25.242.209,4,2,0.50,869.24,0.00
104.25.244.172,4,2,0.50,869.90,0.00
104.25.245.78,4,2,0.50,871.56,0.00
172.65.67.105,4,2,0.50,887.72,0.00
172.65.93.3,4,2,0.50,888.17,0.00
172.65.26.213,4,2,0.50,889.75,0.00
172.65.111.169,4,2,0.50,889.83,0.00
172.65.28.209,4,2,0.50,890.93,0.00
172.64.202.215,4,2,0.50,892.24,0.00
172.65.29.59,4,2,0.50,893.10,0.00
172.65.109.100,4,2,0.50,893.35,0.00
172.65.132.68,4,2,0.50,893.51,0.00
162.159.255.181,4,2,0.50,896.23,0.00
172.64.174.129,4,2,0.50,899.26,0.00
104.25.250.245,4,2,0.50,900.49,0.00
104.25.252.62,4,2,0.50,900.88,0.00
104.25.248.242,4,2,0.50,901.14,0.00
172.64.163.223,4,2,0.50,901.18,0.00
104.25.247.43,4,2,0.50,901.36,0.00
104.25.249.14,4,2,0.50,901.63,0.00
104.25.255.81,4,2,0.50,902.53,0.00
104.25.253.112,4,2,0.50,902.84,0.00
104.25.122.17,4,2,0.50,905.32,0.00
104.25.121.99,4,2,0.50,912.05,0.00
172.67.35.46,4,2,0.50,933.23,0.00
172.67.30.227,4,2,0.50,943.50,0.00
172.67.32.2,4,2,0.50,944.75,0.00
172.67.29.9,4,2,0.50,947.44,0.00
172.67.24.177,4,2,0.50,948.29,0.00
172.67.28.241,4,2,0.50,948.87,0.00
172.67.27.251,4,2,0.50,949.21,0.00
172.67.23.159,4,2,0.50,950.90,0.00
172.65.49.142,4,2,0.50,951.22,0.00
104.25.189.42,4,2,0.50,951.72,0.00
172.67.26.67,4,2,0.50,951.93,0.00
172.67.25.57,4,2,0.50,954.50,0.00
104.25.120.50,4,2,0.50,957.04,0.00
104.25.116.117,4,2,0.50,957.79,0.00
104.25.218.235,4,2,0.50,969.57,0.00
104.25.214.138,4,2,0.50,969.83,0.00
104.25.213.215,4,2,0.50,971.57,0.00
104.25.216.228,4,2,0.50,973.11,0.00
104.25.215.154,4,2,0.50,973.62,0.00
104.25.219.224,4,2,0.50,973.62,0.00
104.25.90.63,4,2,0.50,973.72,0.00
104.25.117.179,4,2,0.50,975.99,0.00
104.25.180.80,4,2,0.50,977.04,0.00
104.25.185.85,4,2,0.50,978.32,0.00
104.25.176.33,4,2,0.50,978.80,0.00
104.25.186.140,4,2,0.50,980.21,0.00
104.25.172.143,4,2,0.50,980.43,0.00
104.25.177.58,4,2,0.50,980.72,0.00
104.25.118.111,4,2,0.50,980.79,0.00
104.25.119.89,4,2,0.50,981.23,0.00
104.25.181.233,4,2,0.50,981.26,0.00
104.25.178.34,4,2,0.50,981.44,0.00
104.25.182.59,4,2,0.50,981.61,0.00
172.67.10.163,4,2,0.50,983.24,0.00
172.67.9.21,4,2,0.50,984.54,0.00
172.67.52.45,4,2,0.50,985.09,0.00
104.25.84.26,4,2,0.50,985.26,0.00
198.41.217.177,4,1,0.75,361.84,0.00
104.16.69.249,4,1,0.75,407.97,0.00
198.41.192.146,4,1,0.75,450.24,0.00
198.41.209.223,4,1,0.75,451.85,0.00
104.16.85.208,4,1,0.75,531.89,0.00
104.16.68.185,4,1,0.75,532.94,0.00
