IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.231.115,2,2,0.00,493.37,0.00
104.16.229.2,2,2,0.00,493.62,0.00
104.16.139.199,2,2,0.00,493.63,0.00
104.16.233.122,2,2,0.00,493.84,0.00
104.16.236.5,2,2,0.00,494.55,0.00
104.16.230.69,2,2,0.00,494.93,0.00
172.64.136.240,2,2,0.00,495.70,0.00
172.64.134.244,2,2,0.00,499.54,0.00
172.64.132.6,2,2,0.00,501.45,0.00
172.64.104.111,2,2,0.00,504.69,0.00
172.64.99.112,2,2,0.00,505.75,0.00
172.64.102.133,2,2,0.00,506.00,0.00
172.64.98.76,2,2,0.00,507.28,0.00
172.64.101.130,2,2,0.00,507.53,0.00
104.16.212.80,2,2,0.00,507.58,0.00
104.16.219.106,2,2,0.00,508.30,0.00
172.64.106.237,2,2,0.00,508.46,0.00
104.16.211.90,2,2,0.00,508.58,0.00
104.16.217.101,2,2,0.00,508.71,0.00
172.64.105.76,2,2,0.00,509.78,0.00
104.16.213.103,2,2,0.00,510.67,0.00
172.64.129.185,2,2,0.00,515.49,0.00
104.16.239.86,2,2,0.00,518.20,0.00
104.16.188.190,2,2,0.00,518.52,0.00
104.16.238.138,2,2,0.00,519.26,0.00
104.16.225.199,2,2,0.00,533.67,0.00
104.16.220.253,2,2,0.00,535.91,0.00
104.16.218.204,2,2,0.00,536.05,0.00
104.16.222.26,2,2,0.00,536.36,0.00
104.16.221.174,2,2,0.00,536.54,0.00
172.64.158.61,2,2,0.00,537.56,0.00
104.16.209.93,2,2,0.00,540.01,0.00
104.16.136.177,2,2,0.00,540.78,0.00
104.16.128.199,2,2,0.00,540.78,0.00
104.16.129.236,2,2,0.00,541.58,0.00
104.16.92.54,2,2,0.00,546.18,0.00
104.17.16.54,2,2,0.00,561.44,0.00
172.64.139.131,2,2,0.00,564.96,0.00
104.17.5.32,2,2,0.00,568.44,0.00
104.17.6.70,2,2,0.00,568.85,0.00
104.17.197.176,2,2,0.00,575.06,0.00
104.17.198.62,2,2,0.00,577.32,0.00
104.18.167.180,2,2,0.00,577.51,0.00
104.17.131.168,2,2,0.00,577.52,0.00
104.17.57.117,2,2,0.00,588.13,0.00
172.64.141.10,2,2,0.00,590.49,0.00
172.64.142.182,2,2,0.00,591.45,0.00
104.17.3.207,2,2,0.00,601.19,0.00
104.18.182.247,2,2,0.00,601.23,0.00
104.17.99.190,2,2,0.00,610.01,0.00
104.17.178.191,2,2,0.00,610.01,0.00
104.17.108.60,2,2,0.00,612.01,0.00
104.17.107.204,2,2,0.00,612.01,0.00
