IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.60.228,4,4,0.00,187.88,0.00
173.245.58.43,4,4,0.00,243.45,0.00
198.41.194.219,4,4,0.00,243.47,0.00
198.41.215.182,4,4,0.00,258.92,0.00
173.245.59.145,4,4,0.00,260.15,0.00
162.159.7.243,4,4,0.00,280.75,0.00
162.159.152.95,4,4,0.00,281.09,0.00
162.159.25.148,4,4,0.00,281.13,0.00
141.101.114.242,4,4,0.00,282.80,0.00
173.245.49.158,4,4,0.00,283.00,0.00
162.159.26.254,4,4,0.00,292.79,0.00
162.159.13.65,4,4,0.00,293.17,0.00
162.159.46.209,4,4,0.00,293.33,0.00
162.159.133.61,4,4,0.00,293.33,0.00
162.159.195.98,4,4,0.00,293.44,0.00
162.159.205.92,4,4,0.00,293.67,0.00
162.159.27.116,4,4,0.00,294.47,0.00
162.159.50.254,4,4,0.00,294.83,0.00
162.159.194.232,4,4,0.00,294.92,0.00
162.159.11.96,4,4,0.00,295.24,0.00
162.159.193.158,4,4,0.00,295.83,0.00
162.159.206.69,4,4,0.00,316.80,0.00
162.159.196.37,4,4,0.00,316.99,0.00
162.159.130.98,4,4,0.00,317.49,0.00
198.41.216.58,4,4,0.00,318.47,0.00
162.159.192.221,4,4,0.00,319.16,0.00
162.159.9.2,4,4,0.00,319.18,0.00
162.159.202.77,4,4,0.00,319.29,0.00
162.159.58.45,4,4,0.00,319.55,0.00
162.159.197.33,4,4,0.00,321.51,0.00
162.159.198.151,4,4,0.00,321.60,0.00
162.159.199.122,4,4,0.00,322.37,0.00
162.159.250.22,4,4,0.00,697.53,0.00
162.159.246.235,4,4,0.00,697.59,0.00
162.159.247.223,4,4,0.00,698.64,0.00
162.159.248.192,4,4,0.00,699.36,0.00
162.159.244.252,4,4,0.00,719.38,0.00
162.159.240.207,4,4,0.00,719.44,0.00
162.159.242.135,4,4,0.00,719.83,0.00
162.159.241.91,4,4,0.00,719.96,0.00
162.159.243.24,4,4,0.00,720.07,0.00
104.16.5.29,4,4,0.00,791.20,0.00
104.16.4.247,4,4,0.00,796.82,0.00
104.16.1.9,4,4,0.00,802.58,0.00
104.25.77.69,4,4,0.00,925.85,0.00
104.25.76.103,4,4,0.00,950.66,0.00
